156666,
156667,
156668,
156669,
156677,156677
156678,156678
156679,156679
156688,156688
156689,156689
156699,156699
156777,
156778,156778
156779,156779
156788,156788
156799,156799
156888,
156889,156889
156899,156899
156999,
157777,
157778,
157779,
157788,157788
157789,157789
157799,157799
157888,
157889,157889
157899,157899
157999,
158888,
158889,
158899,158899
158999,
159999,
166666,
166667,
166668,
166669,
166677,166677
166678,
166679,
166688,166688
166689,
166699,166699
166777,166777
166778,166778
166779,166779
166788,166788
166789,166789
166799,166799
166888,166888
166889,166889
166899,166899
166999,166999
167777,
167778,
167779,
167788,167788
167789,167789
167799,167799
167888,
167889,167889
167899,167899
167999,
168888,
168889,
168899,168899
168999,
169999,
177777,
177778,
177779,
177788,177788
177789,
177799,177799
177888,177888
177889,177889
177899,177899
177999,177999
178888,
178889,
178899,178899
178999,
179999,
188888,
188889,
188899,188899
188999,188999
189999,
199999,
222222,
222223,
222224,
222225,
222226,
222227,
222228,
222229,
222233,222233
222234,
222235,
222236,
222237,
222238,
222239,
222244,222244
222245,
222246,
222247,
222248,
222249,
222255,222255
222256,
222257,
222258,
222259,
222266,222266
222267,
222268,
222269,
222277,222277
222278,
222279,
222288,222288
222289,
222299,222299
222333,
222334,222334
222335,222335
222336,222336
222337,222337
222338,222338
222339,222339
222344,222344
222345,
222346,
222347,
222348,
222349,
222355,222355
222356,
222357,
222358,
222359,
222366,222366
222367,
222368,
222369,
222377,222377
222378,
222379,
222388,222388
222389,
222399,222399
222444,
222445,222445
222446,222446
222447,222447
222448,222448
222449,222449
222455,222455
222456,
222457,
222458,
222459,
222466,222466
222467,
222468,
222469,
222477,222477
222478,
222479,
222488,222488
222489,
222499,222499
222555,
222556,222556
222557,222557
222558,222558
222559,222559
222566,222566
222567,
222568,
222569,
222577,222577
222578,
222579,
222588,222588
222589,
222599,222599
222666,
222667,222667
222668,222668
222669,222669
222677,222677
222678,
222679,
222688,222688
222689,
222699,222699
222777,
222778,222778
222779,222779
222788,222788
222789,
222799,222799
222888,
222889,222889
222899,222899
222999,
223333,223333
223334,223334
223335,223335
223336,223336
223337,223337
223338,223338
223339,223339
223344,223344
223345,223345
223346,223346
223347,223347
223348,223348
223349,223349
223355,223355
223356,223356
223357,223357
223358,223358
223359,223359
223366,223366
223367,223367
223368,223368
223369,223369
223377,223377
223378,223378
223379,223379
223388,223388
223389,223389
223399,223399
223444,223444
223445,223445
223446,223446
223447,223447
223448,223448
223449,223449
223455,223455
223456,223456
223457,223457
223458,223458
223459,223459
223466,223466
223467,223467
223468,223468
223469,223469
223477,223477
223478,223478
223479,223479
223488,223488
223489,223489
223499,223499
223555,223555
223556,223556
223557,223557
223558,223558
223559,223559
223566,223566
223567,223567
223568,223568
223569,223569
223577,223577
223578,223578
223579,223579
223588,223588
223589,223589
223599,223599
223666,223666
223667,223667
223668,223668
223669,223669
223677,223677
223678,223678
223679,223679
223688,223688
223689,223689
223699,223699
223777,223777
223778,223778
223779,223779
223788,223788
223789,223789
223799,223799
223888,223888
223889,223889
223899,223899
223999,223999
224444,224444
224445,224445
224446,224446
224447,224447
224448,224448
224449,224449
224455,224455
224456,224456
224457,224457
224458,224458
224459,224459
224466,224466
224467,224467
224468,224468
224469,224469
224477,224477
224478,224478
224479,224479
224488,224488
224489,224489
224499,224499
224555,224555
224556,224556
224557,224557
224558,224558
224559,224559
224566,224566
224567,224567
224568,224568
224569,224569
224577,224577
224578,224578
224579,224579
224588,224588
224589,224589
224599,224599
224666,224666
224667,224667
224668,224668
224669,224669
224677,224677
224678,224678
224679,224679
224688,224688
224689,224689
224699,224699
224777,224777
224778,224778
224779,224779
224788,224788
224789,224789
224799,224799
224888,224888
224889,224889
224899,224899
224999,224999
225555,225555
225556,225556
225557,225557
225558,225558
225559,225559
225566,225566
225567,225567
225568,225568
225569,225569
225577,225577
225578,225578
225579,225579
225588,225588
225589,225589
225599,225599
225666,225666
225667,225667
225668,225668
225669,225669
225677,225677
225678,225678
225679,225679
225688,225688
225689,225689
225699,225699
225777,225777
225778,225778
225779,225779
225788,225788
225789,225789
225799,225799
225888,225888
225889,225889
225899,225899
225999,225999
226666,226666
226667,226667
226668,226668
226669,226669
226677,226677
226678,226678
226679,226679
226688,226688
226689,226689
226699,226699
226777,226777
226778,226778
226779,226779
226788,226788
226789,226789
226799,226799
226888,226888
226889,226889
226899,226899
226999,226999
227777,227777
227778,227778
227779,227779
227788,227788
227789,227789
227799,227799
227888,227888
227889,227889
227899,227899
227999,227999
228888,228888
228889,228889
228899,228899
228999,228999
229999,229999
233333,
233334,
233335,
233336,
233337,
233338,
233339,
233344,233344
233345,
233346,
233347,
233348,
233349,
233355,233355
233356,
233357,
233358,
233359,
233366,233366
233367,
233368,
